Longitude,Latitude,Field,Dataset,Product,Obj. Id,Track(deg),Swth Wdth(ft),Distance(ft),Duration(s),Elevation(ft),Area Count,Speed(mph),Diff Status,Time,X Offset(ft),Y Offset(ft),Satellites,Hding Veh(deg),Diff Status,Active Rows((1)),VDOP,HDOP,PDOP,Crop Flw(M)(lb/s),Moisture(%),Grain Temp(°F),Elvtr Speed(rpm),Pass Num,Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Prod(ac/h),Crop Flw(V)(bu/h),Date
-91.55600484,45.10236685,K-3,<1>,P9492AM-PBXP,1,111.72,15.00,6.839,2.000,1125.3,On,2.331,Yes,10/22/2024,0.00,0.00,25,111.72,RTK Fixed,6.000,2.700,1.200,2.900,2.566,20.60,58.71,503.60,1,2036.1,36.36,2179.6,38.92,4.239,164.98,10/22/2024
-91.55598124,45.10236042,K-3,<1>,P9492AM-PBXP,2,112.02,15.00,6.822,2.000,1125.6,On,2.326,Yes,10/22/2024,0.00,0.00,25,112.02,RTK Fixed,6.000,2.700,1.200,2.900,6.242,18.76,58.71,503.60,1,5078.7,90.69,5313.6,94.89,4.229,401.25,10/22/2024
-91.55595780,45.10235581,K-3,<1>,P9492AM-PBXP,3,106.63,15.00,6.299,2.000,1126.1,On,2.147,Yes,10/22/2024,0.00,0.00,25,106.63,RTK Fixed,6.000,2.700,1.200,2.900,8.987,18.76,58.71,502.50,1,7920.2,141.43,8286.5,147.97,3.904,577.76,10/22/2024
-91.55593669,45.10234725,K-3,<1>,P9492AM-PBXP,4,119.26,15.00,6.578,2.000,1126.6,On,2.243,Yes,10/22/2024,0.00,0.00,25,119.26,RTK Fixed,6.000,2.700,1.200,2.900,9.437,19.45,58.71,499.60,1,7895.7,141.00,8332.2,148.79,4.077,606.67,10/22/2024
-91.55591250,45.10233825,K-3,<1>,P9492AM-PBXP,5,115.09,15.00,6.731,2.000,1127.1,On,2.295,Yes,10/22/2024,0.00,0.00,25,115.09,RTK Fixed,6.000,2.700,1.200,2.900,11.41,17.93,58.71,499.10,1,9505.5,169.74,9845.1,175.81,4.172,733.50,10/22/2024
-91.55588730,45.10233089,K-3,<1>,P9492AM-PBXP,6,111.59,15.00,7.211,2.000,1127.7,On,2.458,Yes,10/22/2024,0.00,0.00,25,111.59,RTK Fixed,6.000,2.600,1.200,2.900,9.930,16.28,58.71,496.00,1,7878.2,140.68,7998.8,142.84,4.469,638.38,10/22/2024
-91.55586253,45.10232321,K-3,<1>,P9492AM-PBXP,7,112.80,15.00,6.979,2.000,1128.4,On,2.379,Yes,10/22/2024,0.00,0.00,25,112.80,RTK Fixed,6.000,2.600,1.200,2.900,8.082,15.26,58.71,494.90,1,6705.4,119.74,6726.0,120.11,4.326,519.57,10/22/2024
-91.55584003,45.10231763,K-3,<1>,P9492AM-PBXP,8,110.24,15.00,5.401,2.000,1128.9,On,1.841,Yes,10/22/2024,0.00,0.00,25,110.24,RTK Fixed,6.000,2.600,1.200,2.900,5.920,15.39,58.71,497.00,1,6337.3,113.17,6366.6,113.69,3.347,380.57,10/22/2024
-91.55581991,45.10231270,K-3,<1>,P9492AM-PBXP,9,110.41,15.00,5.304,2.000,1129.5,On,1.808,Yes,10/22/2024,0.00,0.00,25,110.41,RTK Fixed,6.000,2.600,1.200,2.900,2.917,15.58,58.71,496.70,1,3172.9,56.66,3194.7,57.05,3.288,187.55,10/22/2024
-91.55580010,45.10230835,K-3,<1>,P9492AM-PBXP,10,107.82,15.00,5.550,2.000,1130.3,On,1.892,Yes,10/22/2024,0.00,0.00,25,107.82,RTK Fixed,6.000,2.600,1.200,2.900,1.543,15.64,58.71,498.20,1,1602.6,28.62,1614.8,28.84,3.440,99.20,10/22/2024
