Longitude,Latitude,Field,Dataset,Product,Obj. Id,Track(deg),Swth Wdth(ft),Distance(ft),Duration(s),Elevation(ft),Area Count,Speed(mph),Diff Status,Time,X Offset(ft),Y Offset(ft),Satellites,Hding Veh(deg),Diff Status,Active Rows((1)),VDOP,HDOP,PDOP,Crop Flw(M)(lb/s),Moisture(%),Grain Temp(°F),Elvtr Speed(rpm),Pass Num,Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Prod(ac/h),Crop Flw(V)(bu/h),Date
-91.57546653,45.09382064,4S North,<1>,P11A50,1,3.302,20.00,7.333,2.000,1169.6,On,2.500,Yes,10/5/2024,0.00,0.00,22,3.302,RTK Fixed,10.00,3.300,1.300,4.200,0.840,9.312,70.95,418.80,1,499.19,8.320,499.19,8.320,6.060,50.42,10/5/2024
-91.57546270,45.09384253,4S North,<1>,P11A50,2,6.330,20.00,8.676,2.000,1169.8,On,2.958,Yes,10/5/2024,0.00,0.00,22,6.330,RTK Fixed,10.00,1.700,1.300,2.100,0.680,9.468,70.95,418.50,1,341.47,5.691,341.47,5.691,7.170,40.81,10/5/2024
-91.57545658,45.09386586,4S North,<1>,P11A50,3,11.12,20.00,8.414,2.000,1170.1,On,2.868,Yes,10/5/2024,0.00,0.00,22,11.12,RTK Fixed,10.00,3.300,2.500,4.200,1.682,9.548,70.95,420.50,1,870.65,14.51,870.65,14.51,6.953,100.90,10/5/2024
-91.57545075,45.09389079,4S North,<1>,P11A50,4,8.973,20.00,9.697,2.000,1169.7,On,3.306,Yes,10/5/2024,0.00,0.00,23,8.973,RTK Fixed,10.00,3.300,2.500,4.200,1.929,9.664,70.95,421.50,1,866.61,14.44,866.61,14.44,8.014,115.75,10/5/2024
-91.57544483,45.09391602,4S North,<1>,P11A50,5,9.427,20.00,9.646,2.000,1169.3,On,3.288,Yes,10/5/2024,0.00,0.00,23,9.427,RTK Fixed,10.00,1.700,1.300,2.100,2.112,9.704,70.95,423.10,1,953.95,15.90,953.95,15.90,7.972,126.74,10/5/2024
-91.57544105,45.09394271,4S North,<1>,P11A50,6,4.211,20.00,9.832,2.000,1168.7,On,3.352,Yes,10/5/2024,0.00,0.00,22,4.211,RTK Fixed,10.00,1.800,1.300,2.300,4.257,8.372,70.95,424.50,1,1886.3,31.44,1886.3,31.44,8.125,255.44,10/5/2024
-91.57543864,45.09396999,4S North,<1>,P11A50,7,4.220,20.00,9.972,2.000,1168.0,On,3.400,Yes,10/5/2024,0.00,0.00,24,4.220,RTK Fixed,10.00,1.700,1.200,2.100,3.886,8.372,70.95,424.30,1,1697.7,28.29,1697.7,28.29,8.241,233.18,10/5/2024
-91.57543820,45.09399757,4S North,<1>,P11A50,8,0.372,20.00,10.38,2.000,1167.1,On,3.539,Yes,10/5/2024,0.00,0.00,25,0.372,RTK Fixed,10.00,1.700,1.200,2.100,3.457,9.000,70.95,422.40,1,1450.5,24.18,1450.5,24.18,8.579,207.40,10/5/2024
-91.57543802,45.09402517,4S North,<1>,P11A50,9,0.756,20.00,10.22,2.000,1166.2,On,3.484,Yes,10/5/2024,0.00,0.00,22,0.756,RTK Fixed,10.00,1.700,1.300,2.100,3.101,9.161,70.95,424.80,1,1321.8,22.03,1321.8,22.03,8.446,186.07,10/5/2024
-91.57543573,45.09405030,4S North,<1>,P11A50,10,5.398,20.00,8.680,2.000,1165.2,On,2.959,Yes,10/5/2024,0.00,0.00,21,5.398,RTK Fixed,10.00,1.800,1.300,2.300,2.782,8.417,70.95,424.80,1,1396.2,23.27,1396.2,23.27,7.173,166.92,10/5/2024
-91.57543412,45.09407624,4S North,<1>,P11A50,11,2.406,20.00,9.746,2.000,1163.7,On,3.322,Yes,10/5/2024,0.00,0.00,22,2.406,RTK Fixed,10.00,1.700,1.200,2.100,3.069,9.045,70.95,427.10,1,1371.5,22.86,1371.5,22.86,8.054,184.11,10/5/2024
-91.57543277,45.09410168,4S North,<1>,P11A50,12,0.988,20.00,9.164,2.000,1162.3,On,3.124,Yes,10/5/2024,0.00,0.00,23,0.988,RTK Fixed,10.00,1.800,1.300,2.300,3.867,9.553,70.95,427.70,1,1837.9,30.63,1837.9,30.63,7.574,232.00,10/5/2024
-91.57543312,45.09412741,4S North,<1>,P11A50,13,359.24,20.00,9.624,2.000,1160.9,On,3.281,Yes,10/5/2024,0.00,0.00,21,359.24,RTK Fixed,10.00,1.700,1.200,2.100,3.915,9.121,70.95,427.00,1,1772.0,29.53,1772.0,29.53,7.954,234.89,10/5/2024
-91.57543442,45.09415305,4S North,<1>,P11A50,14,358.10,20.00,9.236,2.000,1159.4,On,3.148,Yes,10/5/2024,0.00,0.00,21,358.10,RTK Fixed,10.00,1.700,1.200,2.100,3.967,9.085,70.95,425.50,1,1871.1,31.19,1871.1,31.19,7.633,238.03,10/5/2024
-91.57543723,45.09417830,4S North,<1>,P11A50,15,356.18,20.00,8.698,2.000,1158.0,On,2.965,Yes,10/5/2024,0.00,0.00,22,356.18,RTK Fixed,10.00,1.700,1.300,2.100,3.402,9.513,70.05,426.10,1,1703.6,28.39,1703.6,28.39,7.188,204.10,10/5/2024
-91.57543965,45.09420321,4S North,<1>,P11A50,16,355.79,20.00,8.765,2.000,1156.8,On,2.988,Yes,10/5/2024,0.00,0.00,22,355.79,RTK Fixed,10.00,1.800,1.300,2.300,2.573,9.789,70.05,425.50,1,1278.6,21.31,1278.6,21.31,7.244,154.37,10/5/2024
-91.57544228,45.09422889,4S North,<1>,P11A50,17,355.53,20.00,9.730,2.000,1155.5,On,3.317,Yes,10/5/2024,0.00,0.00,22,355.53,RTK Fixed,10.00,1.800,1.200,2.300,3.765,9.789,70.05,426.50,1,1685.5,28.09,1685.5,28.09,8.041,225.89,10/5/2024
-91.57544589,45.09425510,4S North,<1>,P11A50,18,354.25,20.00,10.74,2.000,1154.5,On,3.661,Yes,10/5/2024,0.00,0.00,21,354.25,RTK Fixed,10.00,1.700,1.200,2.100,5.810,9.357,70.05,425.60,1,2356.8,39.28,2356.8,39.28,8.875,348.63,10/5/2024
